costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,countrycode,naics,sic,year,intan,ppegt,ppent,cogs,dvt,oibdp,sale,xad,xlr,xrd,xsga,csho,emp,mkvalt,naicsh,prcc_f,sich,isin,loc,xopr,cshoi,duplicate,valuePPP_exp,valuePPP_gdp,country_name,unitofmeasure,country,pop,avh,hc,rgdpna,rnna,gdppc,lngdppc,rel_gdppc,v_gdp,_merge,ind2d,nrind2,ind3d,nrind3,ind4d,nrind4,sale_cogs_ratio,theta_c,n,theta_CDs,theta_WI1_ct,theta_WI2_ct,theta_WI2_xt,theta_WI1_kt,theta_WI2_kt,theta_Wtime,theta_CM1_ct,theta_CM2_ct,theta_CM2_xt,theta_CM1_kt,theta_CM2_kt,theta_pass,countryind
I,USD,STD,INDL,C,2812.0,30apr1962,DOLE FOOD CO INC,USA,111339.0,100.0,1961,0.0,120.4,57.1,105.78,3.54,11.57,153.1,,,,35.75,2.344,0.2,,,36.49999106,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,186.1494438068634,1953.61,2.7555552,3954515.3,15163884.0,21194.098,9.9614782,1.211013,561940.2854158487,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.4473436,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,10971.0,31oct1962,U S SUGAR CORP,USA,111.0,100.0,1962,0.0,39.471,29.11,12.535,2.012,9.157,22.854,,,,1.162,1.56,,,,32.99999788,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,189.0345470824413,1973.51,2.790292,4196393.0,15694052.0,22149.838,10.005586,1.2656231,603639.3757403329,Matched (3),11,1.0,111.0,18.0,111.0,18.0,1.823215,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,2812.0,30apr1963,DOLE FOOD CO INC,USA,111339.0,100.0,1962,0.0,123.8,57.5,117.19,2.78,9.49,164.1,,,,37.42,2.303,0.2,,,31.62499233,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,189.0345470824413,1973.51,2.790292,4196393.0,15694052.0,22149.838,10.005586,1.2656231,603639.3757403329,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.4002901,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,7675.0,31dec1962,NABISCO INC,USA,115210.0,2000.0,1962,9.784,254.6,134.0,319.64,20.66,77.15,526.5,,169.21,3.5,129.71,13.492,28.8,,,43.25,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,189.0345470824413,1973.51,2.790292,4196393.0,15694052.0,22149.838,10.005586,1.2656231,603639.3757403329,Matched (3),11,1.0,115.0,22.0,1152.0,107.0,1.6471655,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
A,USD,STD,INDL,C,1266.0,31aug1962,ALICO INC,USA,111310.0,100.0,1962,0.071,3.019,2.862,0.542,0.0,-0.145,0.397,,,,,2.632,,,,6.875,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,189.0345470824413,1973.51,2.790292,4196393.0,15694052.0,22149.838,10.005586,1.2656231,603639.3757403329,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,0.7324723,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,10884.0,31dec1962,CHIQUITA BRANDS INTL INC,USA,111339.0,100.0,1962,0.0,437.1,181.6,262.43,5.33,31.32,319.8,,,,26.05,8.461,49.3,,,21.49999809,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,189.0345470824413,1973.51,2.790292,4196393.0,15694052.0,22149.838,10.005586,1.2656231,603639.3757403329,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.2186106,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,10971.0,31oct1963,U S SUGAR CORP,USA,111.0,100.0,1963,0.0,42.204,30.21,17.181,1.584,17.186,35.736,,,,1.369,1.592,3.8,,,56.49996504,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,191.7747465211041,1961.96,2.8254669,4379103.0,16269798.0,22777.66,10.033536,1.3014964,637058.5129130284,Matched (3),11,1.0,111.0,18.0,111.0,18.0,2.079972,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,2812.0,30apr1964,DOLE FOOD CO INC,USA,111339.0,100.0,1963,0.0,130.0,61.2,121.35,3.46,20.81,182.2,,,,40.04,2.314,8.5,,,37.37499029,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,191.7747465211041,1961.96,2.8254669,4379103.0,16269798.0,22777.66,10.033536,1.3014964,637058.5129130284,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.5014421,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,7675.0,31dec1963,NABISCO INC,USA,115210.0,2000.0,1963,9.477,264.6,132.1,353.94,21.66,86.03,578.4,,181.71,,138.43,13.692,29.7,,,57.36999512,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,191.7747465211041,1961.96,2.8254669,4379103.0,16269798.0,22777.66,10.033536,1.3014964,637058.5129130284,Matched (3),11,1.0,115.0,22.0,1152.0,107.0,1.6341753,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,10884.0,31dec1963,CHIQUITA BRANDS INTL INC,USA,111339.0,100.0,1963,0.0,440.9,180.6,282.82,4.81,17.0,329.9,,,,30.08,8.023,52.8,,,21.62998581,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,191.7747465211041,1961.96,2.8254669,4379103.0,16269798.0,22777.66,10.033536,1.3014964,637058.5129130284,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.1664664,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
