MSN,YYYYMM,Value,Column_Order,Description,Unit
CPUCIUS,199704,160.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199705,160.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199706,160.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199707,160.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199708,160.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199709,161.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199710,161.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199711,161.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199712,161.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199713,160.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199801,161.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199802,161.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199803,162.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199804,162.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199805,162.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199806,163,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199807,163.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199808,163.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199809,163.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199810,164,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199811,164,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199812,163.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199813,163,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199901,164.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199902,164.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199903,165,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199904,166.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199905,166.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199906,166.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199907,166.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199908,167.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199909,167.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,199910,168.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
