countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
ABW,1970,190.088493,104.832028,46.397118,329.084418,303.871063,353.74688,280.6710029503329,133.3488289316547,95.81773580689097,332.8502977393011,371.8464548185062,479.5906146088955,.05895,1.79,1.79,103.706505,133.3488277923466,,
ABW,1971,200.221731,110.42043,48.870444,346.627254,320.069766,372.604474,306.1796919375744,145.4682217526694,104.5261202483079,363.1013507936497,405.6416423409519,523.1781013756031,.058781,1.79,1.79,109.234925,145.4682070390861,,
ABW,1972,210.895206,116.306757,51.475666,365.105375,337.132239,392.467331,334.0067548745893,158.6890779328829,114.0259373421069,396.1017242983535,442.5082455223458,570.7270343367953,.058895,1.79,1.79,115.058025,158.6890815720069,,
ABW,1973,222.137686,122.50682,54.219742,384.5685,355.104176,413.389041,364.3629617484032,173.1114537375469,124.3891617745624,432.1013840258163,482.7256079792846,622.5974095137509,.059435,1.79,1.79,121.191526,173.1114592546858,,
ABW,1974,233.97926,129.037449,57.109995,405.068867,374.033561,435.426048,397.4779228563906,188.8446957623334,135.6943156079332,471.3728064759842,526.5979928910899,679.1820718223485,.060122,1.79,1.79,127.652126,188.8446965458317,,
ABW,1975,246.452484,135.91628,60.154626,426.662811,393.973659,458.637808,433.6025853700644,206.0078700552671,148.0267088911637,514.213367546692,574.457569415922,740.9093900729164,.060813,1.79,1.79,134.456907,206.00787236742,,
ABW,1976,259.590533,143.161498,63.361268,449.407329,414.975314,483.086944,473.0108710987687,224.7305732705429,161.4801860045614,560.9477250534748,626.667438147978,808.2467994663085,.061271,1.79,1.79,141.624463,224.730572409526,,
ABW,1977,273.427835,150.793381,66.738456,473.363029,437.094107,508.839417,515.999616231445,245.1555625634641,176.1565949400689,611.9290068922905,683.6217604079599,881.7041196092979,.061511,1.79,1.79,149.174794,245.1555633118633,,
ABW,1978,288.005448,158.832222,70.29748099999999,498.600336,460.401814,535.964707,562.896256460851,267.4365876680524,192.1655097418166,667.5440131333484,745.7515781294995,961.8376046505076,.061719,1.79,1.79,157.126089,267.4365989275527,,
ABW,1979,303.358245,167.297899,74.043739,525.177643,484.939418,564.535997,614.0574510328802,291.7407969746092,209.6315780979415,728.2149040984823,813.5319146104757,1049.254039741744,.061896,1.79,1.79,165.502197,291.7407995818634,,
ABW,1980,319.524635,176.21806,77.98894199999999,553.167796,510.778983,594.63037,669.8601232019229,318.2589244007456,228.6851356534795,794.3959424241468,887.4669626237785,1144.615248076932,.062039,1.79,1.79,174.327924,318.2589352046664,,
ABW,1981,336.56941,185.612667,82.15435699999999,582.6761779999999,538.050766,626.329019,730.7440277775968,347.1827274886685,249.4623047240929,866.5957921904615,968.1197968510137,1248.643407522062,.062266,1.79,1.79,183.614453,347.1827098459498,,
