countrycode,year,emp,avh,i_emp,yr_sch,source,labsh,i_labsh,i_labsh2,comp_sh,lab_sh1,lab_sh2,lab_sh3,lab_sh4,i_comp_sh,i_lab_sh1,i_lab_sh2,i_lab_sh3,i_lab_sh4
ABW,1950,,,,,,,,,,,,,,,,,,
ABW,1951,,,,,,,,,,,,,,,,,,
ABW,1952,,,,,,,,,,,,,,,,,,
ABW,1953,,,,,,,,,,,,,,,,,,
ABW,1954,,,,,,,,,,,,,,,,,,
ABW,1955,,,,,,,,,,,,,,,,,,
ABW,1956,,,,,,,,,,,,,,,,,,
ABW,1957,,,,,,,,,,,,,,,,,,
ABW,1958,,,,,,,,,,,,,,,,,,
ABW,1959,,,,,,,,,,,,,,,,,,
ABW,1960,,,,,,,,,,,,,,,,,,
ABW,1961,,,,,,,,,,,,,,,,,,
ABW,1962,,,,,,,,,,,,,,,,,,
ABW,1963,,,,,,,,,,,,,,,,,,
ABW,1964,,,,,,,,,,,,,,,,,,
ABW,1965,,,,,,,,,,,,,,,,,,
ABW,1966,,,,,,,,,,,,,,,,,,
ABW,1967,,,,,,,,,,,,,,,,,,
ABW,1968,,,,,,,,,,,,,,,,,,
ABW,1969,,,,,,,,,,,,,,,,,,
ABW,1970,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1971,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1972,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1973,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1974,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1975,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1976,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1977,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1978,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1979,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1980,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1981,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1982,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1983,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1984,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1985,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1986,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1987,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1988,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1989,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1990,,,,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1991,29219,,ILO,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1992,31226.246,,ILO (interpolated),,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1993,33576.852,,ILO (interpolated),,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1994,35940,,ILO,,,.64835703,"Adjustment 2, part mixed income",Assumed constant or interpolated,.60977858,.66928041,.64835703,.61732942,.61501193,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,1995,38095.742,,ILO (interpolated),,,.64835703,"Adjustment 2, part mixed income",Observed data,.60977858,.66928041,.64835703,.61732942,.61501193,Observed data,Observed data,Observed data,Assumed constant or interpolated,Observed data
ABW,1996,39933.758,,ILO (interpolated),,,.63725948,"Adjustment 2, part mixed income",Observed data,.60035366,.65826702,.63725948,.61732942,.60537457,Observed data,Observed data,Observed data,Assumed constant or interpolated,Observed data
ABW,1997,41501,,ILO,,,.63490725,"Adjustment 2, part mixed income",Observed data,.59738201,.65648556,.63490725,.61732942,.60188651,Observed data,Observed data,Observed data,Observed data,Observed data
ABW,1998,41681.254,,ILO (interpolated),,,.63823181,"Adjustment 2, part mixed income",Observed data,.59811044,.66097379,.63823181,.63978827,.60224265,Observed data,Observed data,Observed data,Assumed constant or interpolated,Observed data
ABW,1999,41785.934,,ILO (interpolated),,,.65521061,"Adjustment 2, part mixed income",Observed data,.62297958,.67217141,.65521061,.66224706,.62693948,Observed data,Observed data,Observed data,Assumed constant or interpolated,Observed data
ABW,2000,41918,,ILO,,,.64510614,"Adjustment 2, part mixed income",Observed data,.61420661,.66210496,.64510614,.68470591,.61842769,Observed data,Observed data,Observed data,Observed data,Observed data
ABW,2001,43504.48,,ILO (interpolated),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Observed data,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Observed data
ABW,2002,45142.555,,ILO (interpolated),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2003,46776.344,,ILO (interpolated),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2004,48289,,ILO (interpolated),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2005,49614.172,,ILO (interpolated),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2006,50709.32,,ILO (interpolated),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2007,51605,,ILO,,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2008,50254.07,,"WDI (emp., interpolated)",,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2009,48883.516,,"WDI (emp., interpolated)",,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2010,47564.434,,WDI (employment),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2011,48763.457,,WDI (employment),,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2012,49013.84,,Extrapolated,,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2013,49305.313,,Extrapolated,,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2014,49595.828,,Extrapolated,,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2015,49856.723,,Extrapolated,,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2016,50086.555,,Extrapolated,,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
ABW,2017,50297.754,,Extrapolated,,,.64510614,"Adjustment 2, part mixed income",Assumed constant or interpolated,.61317134,.66210496,.64510614,.68470591,.61731642,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated,Assumed constant or interpolated
AGO,1950,,,,,,,,,,,,,,,,,,
AGO,1951,,,,,,,,,,,,,,,,,,
AGO,1952,,,,,,,,,,,,,,,,,,
AGO,1953,,,,,,,,,,,,,,,,,,
AGO,1954,,,,,,,,,,,,,,,,,,
AGO,1955,,,,,,,,,,,,,,,,,,
AGO,1956,,,,,,,,,,,,,,,,,,
AGO,1957,,,,,,,,,,,,,,,,,,
AGO,1958,,,,,,,,,,,,,,,,,,
AGO,1959,,,,,,,,,,,,,,,,,,
AGO,1960,,,,,,,,,,,,,,,,,,
AGO,1961,,,,,,,,,,,,,,,,,,
AGO,1962,,,,,,,,,,,,,,,,,,
AGO,1963,,,,,,,,,,,,,,,,,,
AGO,1964,,,,,,,,,,,,,,,,,,
AGO,1965,,,,,,,,,,,,,,,,,,
AGO,1966,,,,,,,,,,,,,,,,,,
AGO,1967,,,,,,,,,,,,,,,,,,
AGO,1968,,,,,,,,,,,,,,,,,,
AGO,1969,,,,,,,,,,,,,,,,,,
AGO,1970,3422886.3,,TCB,.11615,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1971,3456551.3,,TCB,.1345676,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1972,3502419.8,,TCB,.1529852,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1973,3563141.3,,TCB,.1714028,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1974,3733875,,TCB,.18982039,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1975,3958281.3,,TCB,.20823799,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1976,4086774.8,,TCB,.22665559,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1977,4111428.5,,TCB,.2450732,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1978,4209530,,TCB,.2634908,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1979,4290003,,TCB,.28190839,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1980,4300709.5,,TCB,.30032599,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1981,4429433.5,,TCB,.36681178,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1982,4567909.5,,TCB,.43329757,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1983,4658233.5,,TCB,.4997834,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1984,4760062.5,,TCB,.56626916,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1985,4893955,,TCB,.63275498,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1986,5005365,,TCB,.6992408,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1987,5132856,,TCB,.76572657,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1988,5250641.5,,TCB,.83221239,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1989,5386917.5,,TCB,.89869815,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1990,5530128,,TCB,.96518397,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
AGO,1991,5660353.5,,TCB,1.0627016,Cohen-Soto-Leker,.28487864,"Adjustment 4, agriculture",Assumed constant or interpolated,.22637956,,,,.28487864,Assumed constant or interpolated,,,,Assumed constant or interpolated
